group,variable,value
proto,1,-0.021636129
state,1,0.169664041
dur,1,0.009236612
sbytes,1,0.000431079
dbytes,1,-0.000958239
sttl,1,0.940716524
dttl,1,0.222614228
sloss,1,0.000274322
dloss,1,-0.001066932
service,1,-0.005448957
Sload,1,0.001828258
Dload,1,-0.072297435
Spkts,1,-0.000548085
Dpkts,1,-0.001374623
swin,1,0.101378039
dwin,1,0.087823364
stcpb,1,0.0805583
dtcpb,1,0.079657824
Sjit,1,0.00430742
Djit,1,0.000244603
Sintpkt,1,-0.003783546
Dintpkt,1,-0.001581089
tcprtt,1,0.005536621
proto,0,-0.01708609
state,0,0.008181862
dur,0,0.002564305
sbytes,0,0.000389388
dbytes,0,0.002623363
sttl,0,-0.193914839
dttl,0,0.096248951
sloss,0,0.00124374
dloss,0,0.003178351
service,0,0.024085332
Sload,0,-0.01403749
Dload,0,0.098858951
Spkts,0,0.003548334
Dpkts,0,0.004078731
swin,0,0.603378493
dwin,0,0.604352027
stcpb,0,0.326320438
dtcpb,0,0.326105521
Sjit,0,0.001364709
Djit,0,0.00532505
Sintpkt,0,-0.001150593
Dintpkt,0,-0.000366562
tcprtt,0,0.001035238
